trial,t,x,y
12,0.5172481120025623,42,-4
12,0.5243114570002945,51,-5
12,0.5317109530005837,58,-6
12,0.5386545809997187,64,-7
12,0.5463143060005677,69,-8
12,0.5528991600003792,73,-9
12,0.5601502019999316,77,-10
12,0.5672052850022737,81,-11
12,0.5735099670018826,84,-12
12,0.5807157270028256,89,-12
12,0.5879522370014456,92,-13
12,0.5951487320016895,96,-14
12,0.6077373700027238,99,-14
12,0.6086588380021567,102,-14
12,0.6161691970009997,104,-15
12,0.6233882030028326,107,-15
12,0.630330474999937,109,-15
12,0.6370363630012434,111,-16
12,0.6443895360025635,113,-16
12,0.6510022470029071,115,-16
12,0.6580479590011237,117,-17
12,0.6650910460011801,119,-17
12,0.6721441180015972,121,-17
12,0.6791341660027683,122,-18
12,0.6861280140001327,123,-18
12,0.6933346760015411,124,-18
12,0.7004109690024052,125,-18
12,0.7073508470020897,125,-18
12,0.7143455330005963,126,-18
12,0.7213072600025043,127,-18
12,0.7283581470001081,128,-18
12,0.7353194710012758,129,-18
12,0.7422431260019948,131,-18
12,0.7494075870017696,133,-18
12,0.7563597870030208,135,-18
12,0.763350466000702,137,-18
12,0.7702313620029599,139,-17
12,0.7774589680011559,141,-17
12,0.7843855480023194,144,-16
12,0.7913393720009481,146,-15
12,0.7984942500006582,149,-14
12,0.8055134620008175,151,-13
12,0.812511081003322,153,-12
12,0.8195933599999989,154,-11
12,0.8265369640030258,156,-10
12,0.8335649220025516,157,-9
12,0.8405477750020509,157,-9
12,0.8477332050024415,158,-8
12,0.8545483570014767,159,-8
12,0.8616203010024037,159,-8
12,0.8686301080015255,160,-7
12,0.8754510960025073,160,-7
12,0.8826647410023725,161,-7
12,0.8897971799997322,161,-6
12,0.8965967100011767,161,-6
12,0.9037229070017929,162,-6
12,0.910694919002708,162,-6
12,0.9177863700024318,162,-5
12,0.9248173590021906,162,-5
12,0.9319145580011536,163,-5
12,0.9388047669999651,163,-5
12,1.1914916269997775,163,-5
13,0.0,5,-7
13,0.5189910529988992,2,-9
13,0.5260184209982981,1,-14
13,0.532807977997436,1,-19
13,0.5400169360000291,1,-23
13,0.5470489889994496,1,-27
13,0.5538056299992604,0,-30
13,0.5610472199987271,0,-34
13,0.5678762309980812,0,-38
13,0.5747726789995795,0,-42
13,0.5819535669979814,0,-47
13,0.5890516309991654,0,-54
13,0.5960347580003145,0,-61
13,0.6030019389982044,1,-69
13,0.6099655549987801,2,-78
13,0.6168967899975542,2,-86
